description;biddable;startprice;condition;cellular;carrier;color;storage;sold;UniqueID
;0;80;For parts or not working;0;None;Unknown;16;0;12554
;0;99.46;New;Unknown;Unknown;Unknown;Unknown;0;12478
Excellent condition - 100% functional - Apple warranty valid until March 1, 2016 - There is 1 light, ;0;399;Used;0;None;Gold;16;0;10279
;1;400;New;0;None;Space Gray;64;1;11165
;0;65;For parts or not working;0;None;Black;32;0;11749
This item is in Great cosmetic condition. It may have small scratches and light wear on the screen. ;0;159.99;Used;0;None;White;16;0;12359
;0;259.99;New;0;None;White;16;0;11584
very clean no scratch new digitizer comes with the box;1;0.99;Used;0;None;Unknown;16;1;10189
Excellent condition and fully functional;1;0.99;Seller refurbished;1;Unknown;Black;16;1;11344
Only used for a couple of days;1;120;Seller refurbished;0;None;Unknown;16;1;12042
Slightly used item in mint condition. 100% working tested and verified. NO Scratches/ or invisible ;0;164.99;Used;0;None;White;16;0;11847
;1;99;Used;0;None;Black;32;1;10214
Used: Good - This is a used item in good condition. The item may have minor scratches, scuffs or ;0;199.99;Used;1;AT&T;Black;32;1;11807
;1;199.99;New;Unknown;Unknown;Unknown;32;1;12174
;0;350;New;0;None;Unknown;16;0;10315
;0;334.99;New;Unknown;Unknown;Gold;Unknown;0;10260
;0;315;Used;Unknown;Unknown;Unknown;Unknown;1;11508
;1;250;Used;0;None;Black;32;1;10142
Like new, barely used;0;185.49;Used;0;None;Space Gray;16;0;10374
;0;400;Used;0;None;Black;64;0;10764
;0;375;Used;Unknown;Unknown;Unknown;Unknown;0;11418
;0;80;Used;0;None;Black;32;0;10735
;1;30;For parts or not working;0;None;Unknown;32;0;11622
;0;462.89;New;0;None;Space Gray;32;0;10987
Cracked screen, all buttons, volume and functions work.;1;150;Used;0;None;Unknown;16;1;12093
;0;194.95;Used;1;Verizon;Black;64;1;10701
;0;14.99;New;Unknown;Unknown;Unknown;Unknown;0;12480
This used TAB is in good condition with minor scratches on the housing or screen (when the phone is ;0;179;Used;0;None;White;64;0;12171
;0;426.3;New;Unknown;Unknown;Black;Unknown;0;12417
;1;250;Seller refurbished;1;Unknown;Black;64;0;10193
Minor scratches on screen and/or back. Dented on corner. Please refer to images.;0;164.99;Seller refurbished;0;None;White;16;0;12309
Opened box, no cosmetic damages, includes all accessories in retail package. Please contact us with ;1;0.99;Used;Unknown;Unknown;Unknown;Unknown;1;10854
;0;37.98;Used;Unknown;Unknown;Unknown;Unknown;1;10837
;0;127.95;New;Unknown;Unknown;Unknown;Unknown;0;11446
;1;30;Used;0;None;White;16;1;12118
Please scroll down to see pictures and full description;0;29.99;For parts or not working;1;AT&T;Black;16;1;11707
Good Condition! Fully Functional!;0;79.99;Seller refurbished;0;None;Black;32;0;11868
touch screen not reponding;1;0.99;For parts or not working;0;None;Unknown;16;1;11620
Passcode locked. New Screen.  See Photos.;1;69.5;Used;0;None;Black;16;1;11922
"The volume button is a little touchy but I think you can get this fixed pretty easily. It doesn&#039;t ";1;0.99;Used;0;None;White;16;1;11925
Very Good Condition;1;199.99;Used;0;None;Unknown;16;0;10972
;1;65;Used;0;None;Black;16;1;10175
;0;149;Used;1;T-Mobile;White;64;0;10025
Cracked screen and locked;1;45;Used;0;None;Unknown;16;1;10098
See photos for scuffs and speaker;1;50;Used;0;None;Unknown;16;1;10481
"This device is used but in good cosmetic condition; it has signs of normal wear and tear with some ";0;179.99;Used;1;AT&T;Unknown;16;1;11820
Awesome condition. Rarely used;0;285;Used;Unknown;Unknown;Unknown;Unknown;0;10676
;0;585.99;New;1;Unknown;Space Gray;16;0;11150
;0;200;Used;0;None;Unknown;64;0;10857
;0;424.55;New;0;None;Gold;16;1;11286
